Ref,Val,Package,PosX,PosY,Rot,Side
"D61","D_Small","D_SOD-123",110.340775,10.398125,90.000000,bottom
"D62","D_Small","D_SOD-123",150.822025,9.207500,90.000000,bottom
"D63","D_Small","D_SOD-123",155.584525,9.207500,90.000000,bottom
"D64","D_Small","D_SOD-123",207.972025,15.160625,90.000000,bottom
"D65","D_Small","D_SOD-123",211.543900,15.160625,90.000000,bottom
"D66","D_Small","D_SOD-123",243.690775,16.351250,90.000000,bottom
"D67","D_Small","D_SOD-123",263.781400,13.070000,90.000000,bottom
"D68","D_Small","D_SOD-123",281.790775,13.970000,90.000000,bottom
"F1","500mA","R_0805",14.231400,82.270000,90.000000,bottom
"Q1","FMMT493TA","SOT-23-3",21.107400,37.084000,270.000000,bottom
"R1","560","R_0603",4.375150,79.454375,90.000000,bottom
"R2","560","R_0603",23.425150,79.454375,90.000000,bottom
"R3","560","R_0603",42.475150,79.454375,90.000000,bottom
"R4","560","R_0603",61.271400,80.520000,90.000000,bottom
"R5","560","R_0603",80.575150,79.454375,90.000000,bottom
"R6","560","R_0603",99.625150,79.454375,90.000000,bottom
"R7","560","R_0603",118.675150,79.454375,90.000000,bottom
"R8","560","R_0603",137.725150,79.454375,90.000000,bottom
"R9","560","R_0603",156.775150,79.454375,90.000000,bottom
"R10","560","R_0603",175.825150,79.454375,90.000000,bottom
"R11","560","R_0603",194.161400,80.510000,90.000000,bottom
"R12","560","R_0603",213.925150,79.454375,90.000000,bottom
"R13","560","R_0603",232.851400,80.590000,90.000000,bottom
"R14","560","R_0603",250.834525,79.454375,90.000000,bottom
"R15","560","R_0603",271.075150,79.454375,90.000000,bottom
"R16","560","R_0603",9.137650,60.404375,90.000000,bottom
"R17","560","R_0603",33.031400,63.520000,90.000000,bottom
"R18","560","R_0603",62.151400,60.420000,90.000000,bottom
"R19","560","R_0603",71.050150,60.404375,90.000000,bottom
"R20","560","R_0603",90.100150,60.404375,90.000000,bottom
"R21","560","R_0603",109.150150,60.404375,90.000000,bottom
"R22","560","R_0603",128.200150,60.404375,90.000000,bottom
"R23","560","R_0603",147.250150,60.404375,90.000000,bottom
"R24","560","R_0603",166.300150,60.404375,90.000000,bottom
"R25","560","R_0603",185.350150,60.404375,90.000000,bottom
"R26","560","R_0603",204.400150,60.404375,90.000000,bottom
"R27","560","R_0603",223.450150,60.404375,90.000000,bottom
"R28","560","R_0603",242.500150,60.404375,90.000000,bottom
"R29","560","R_0603",266.312650,60.404375,90.000000,bottom
"R30","560","R_0603",7.947025,43.735625,90.000000,bottom
"R31","560","R_0603",37.712650,41.354375,90.000000,bottom
"R32","560","R_0603",56.762650,41.354375,90.000000,bottom
"R33","560","R_0603",75.812650,41.354375,90.000000,bottom
"R34","560","R_0603",94.862650,41.354375,90.000000,bottom
"R35","560","R_0603",113.912650,41.354375,90.000000,bottom
"R36","560","R_0603",132.962650,41.354375,90.000000,bottom
"R37","560","R_0603",152.012650,41.354375,90.000000,bottom
"R38","560","R_0603",171.062650,41.354375,90.000000,bottom
"R39","560","R_0603",190.112650,41.354375,90.000000,bottom
"R40","560","R_0603",209.162650,41.354375,90.000000,bottom
"R41","560","R_0603",228.212650,41.354375,90.000000,bottom
"R42","560","R_0603",247.262650,41.354375,90.000000,bottom
"R43","560","R_0603",259.168900,41.354375,90.000000,bottom
"R44","560","R_0603",6.756400,24.685625,90.000000,bottom
"R45","560","R_0603",28.187650,22.304375,90.000000,bottom
"R46","560","R_0603",47.237650,22.304375,90.000000,bottom
"R47","560","R_0603",66.121400,23.420000,90.000000,bottom
"R48","560","R_0603",85.337650,22.304375,90.000000,bottom
